TRIMMER STATISTICS,,Total input reads,2036565544
TRIMMER STATISTICS,,Total input bases,307521397144
TRIMMER STATISTICS,,Total input bases R1,153760698572
TRIMMER STATISTICS,,Total input bases R2,153760698572
TRIMMER STATISTICS,,Average input read length,151
TRIMMER STATISTICS,,Total trimmed reads,173118826,8.50
TRIMMER STATISTICS,,Total trimmed bases,7006178010,2.28
TRIMMER STATISTICS,,Average bases trimmed per read,3
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,40
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,220824,0.02
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,2419436,0.24
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,1076284,0.11
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,4946701,0.49
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,40,0.53
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,30,0.17
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,36071022,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,609318348,0.40
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,409,0.04
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,289,0.01
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,83107395,8.16
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,89985868,8.84
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,7608,100.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,17955,100.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,3481752342,2.26
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,3520876998,2.29
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,1029782,89.64
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,2518888,92.91
TRIMMER STATISTICS,,Total filtered reads,25563,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,7608,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,17955,0.00
