GC BIAS DETAILS,,Windows at GC 0,133008,0.005
GC BIAS DETAILS,,Windows at GC 1,96476,0.003
GC BIAS DETAILS,,Windows at GC 2,111922,0.004
GC BIAS DETAILS,,Windows at GC 3,142573,0.005
GC BIAS DETAILS,,Windows at GC 4,153722,0.005
GC BIAS DETAILS,,Windows at GC 5,156990,0.005
GC BIAS DETAILS,,Windows at GC 6,178073,0.006
GC BIAS DETAILS,,Windows at GC 7,191338,0.007
GC BIAS DETAILS,,Windows at GC 8,218133,0.007
GC BIAS DETAILS,,Windows at GC 9,246522,0.008
GC BIAS DETAILS,,Windows at GC 10,290547,0.010
GC BIAS DETAILS,,Windows at GC 11,355549,0.012
GC BIAS DETAILS,,Windows at GC 12,464525,0.016
GC BIAS DETAILS,,Windows at GC 13,613391,0.021
GC BIAS DETAILS,,Windows at GC 14,870301,0.030
GC BIAS DETAILS,,Windows at GC 15,1281550,0.044
GC BIAS DETAILS,,Windows at GC 16,1918346,0.066
GC BIAS DETAILS,,Windows at GC 17,2881743,0.099
GC BIAS DETAILS,,Windows at GC 18,4322287,0.148
GC BIAS DETAILS,,Windows at GC 19,6381648,0.218
GC BIAS DETAILS,,Windows at GC 20,9217768,0.315
GC BIAS DETAILS,,Windows at GC 21,12965381,0.443
GC BIAS DETAILS,,Windows at GC 22,17703471,0.606
GC BIAS DETAILS,,Windows at GC 23,23500468,0.804
GC BIAS DETAILS,,Windows at GC 24,30331501,1.038
GC BIAS DETAILS,,Windows at GC 25,38036618,1.301
GC BIAS DETAILS,,Windows at GC 26,46322900,1.584
GC BIAS DETAILS,,Windows at GC 27,54981084,1.881
GC BIAS DETAILS,,Windows at GC 28,63718680,2.180
GC BIAS DETAILS,,Windows at GC 29,72233595,2.471
GC BIAS DETAILS,,Windows at GC 30,80344854,2.748
GC BIAS DETAILS,,Windows at GC 31,87895099,3.006
GC BIAS DETAILS,,Windows at GC 32,94721710,3.240
GC BIAS DETAILS,,Windows at GC 33,100730001,3.446
GC BIAS DETAILS,,Windows at GC 34,105936426,3.624
GC BIAS DETAILS,,Windows at GC 35,110267854,3.772
GC BIAS DETAILS,,Windows at GC 36,113699949,3.889
GC BIAS DETAILS,,Windows at GC 37,115527038,3.952
GC BIAS DETAILS,,Windows at GC 38,115332118,3.945
GC BIAS DETAILS,,Windows at GC 39,113357508,3.877
GC BIAS DETAILS,,Windows at GC 40,109877242,3.758
GC BIAS DETAILS,,Windows at GC 41,104979238,3.591
GC BIAS DETAILS,,Windows at GC 42,99162131,3.392
GC BIAS DETAILS,,Windows at GC 43,93150238,3.186
GC BIAS DETAILS,,Windows at GC 44,87759984,3.002
GC BIAS DETAILS,,Windows at GC 45,83407627,2.853
GC BIAS DETAILS,,Windows at GC 46,80055085,2.738
GC BIAS DETAILS,,Windows at GC 47,77379259,2.647
GC BIAS DETAILS,,Windows at GC 48,74697965,2.555
GC BIAS DETAILS,,Windows at GC 49,71429537,2.443
GC BIAS DETAILS,,Windows at GC 50,67299331,2.302
GC BIAS DETAILS,,Windows at GC 51,62475783,2.137
GC BIAS DETAILS,,Windows at GC 52,57477233,1.966
GC BIAS DETAILS,,Windows at GC 53,52804377,1.806
GC BIAS DETAILS,,Windows at GC 54,48642774,1.664
GC BIAS DETAILS,,Windows at GC 55,44972672,1.538
GC BIAS DETAILS,,Windows at GC 56,41435984,1.417
GC BIAS DETAILS,,Windows at GC 57,37675310,1.289
GC BIAS DETAILS,,Windows at GC 58,33531191,1.147
GC BIAS DETAILS,,Windows at GC 59,29041297,0.993
GC BIAS DETAILS,,Windows at GC 60,24537833,0.839
GC BIAS DETAILS,,Windows at GC 61,20379125,0.697
GC BIAS DETAILS,,Windows at GC 62,16830940,0.576
GC BIAS DETAILS,,Windows at GC 63,13903683,0.476
GC BIAS DETAILS,,Windows at GC 64,11488285,0.393
GC BIAS DETAILS,,Windows at GC 65,9477147,0.324
GC BIAS DETAILS,,Windows at GC 66,7810922,0.267
GC BIAS DETAILS,,Windows at GC 67,6347058,0.217
GC BIAS DETAILS,,Windows at GC 68,5076009,0.174
GC BIAS DETAILS,,Windows at GC 69,4063317,0.139
GC BIAS DETAILS,,Windows at GC 70,3260476,0.112
GC BIAS DETAILS,,Windows at GC 71,2610656,0.089
GC BIAS DETAILS,,Windows at GC 72,2112222,0.072
GC BIAS DETAILS,,Windows at GC 73,1723636,0.059
GC BIAS DETAILS,,Windows at GC 74,1421753,0.049
GC BIAS DETAILS,,Windows at GC 75,1196943,0.041
GC BIAS DETAILS,,Windows at GC 76,1032413,0.035
GC BIAS DETAILS,,Windows at GC 77,908896,0.031
GC BIAS DETAILS,,Windows at GC 78,808995,0.028
GC BIAS DETAILS,,Windows at GC 79,706439,0.024
GC BIAS DETAILS,,Windows at GC 80,602674,0.021
GC BIAS DETAILS,,Windows at GC 81,507052,0.017
GC BIAS DETAILS,,Windows at GC 82,425474,0.015
GC BIAS DETAILS,,Windows at GC 83,349835,0.012
GC BIAS DETAILS,,Windows at GC 84,271541,0.009
GC BIAS DETAILS,,Windows at GC 85,197178,0.007
GC BIAS DETAILS,,Windows at GC 86,131698,0.005
GC BIAS DETAILS,,Windows at GC 87,85982,0.003
GC BIAS DETAILS,,Windows at GC 88,59302,0.002
GC BIAS DETAILS,,Windows at GC 89,38361,0.001
GC BIAS DETAILS,,Windows at GC 90,25087,0.001
GC BIAS DETAILS,,Windows at GC 91,16055,0.001
GC BIAS DETAILS,,Windows at GC 92,9563,0.000
GC BIAS DETAILS,,Windows at GC 93,6006,0.000
GC BIAS DETAILS,,Windows at GC 94,3424,0.000
GC BIAS DETAILS,,Windows at GC 95,1675,0.000
GC BIAS DETAILS,,Windows at GC 96,986,0.000
GC BIAS DETAILS,,Windows at GC 97,658,0.000
GC BIAS DETAILS,,Windows at GC 98,328,0.000
GC BIAS DETAILS,,Windows at GC 99,133,0.000
GC BIAS DETAILS,,Windows at GC 100,339,0.000
GC BIAS DETAILS,,Normalized coverage at GC 0,0.1405
GC BIAS DETAILS,,Normalized coverage at GC 1,0.1944
GC BIAS DETAILS,,Normalized coverage at GC 2,0.2514
GC BIAS DETAILS,,Normalized coverage at GC 3,0.3118
GC BIAS DETAILS,,Normalized coverage at GC 4,0.3873
GC BIAS DETAILS,,Normalized coverage at GC 5,0.4636
GC BIAS DETAILS,,Normalized coverage at GC 6,0.5258
GC BIAS DETAILS,,Normalized coverage at GC 7,0.5822
GC BIAS DETAILS,,Normalized coverage at GC 8,0.6379
GC BIAS DETAILS,,Normalized coverage at GC 9,0.6898
GC BIAS DETAILS,,Normalized coverage at GC 10,0.7326
GC BIAS DETAILS,,Normalized coverage at GC 11,0.7698
GC BIAS DETAILS,,Normalized coverage at GC 12,0.7928
GC BIAS DETAILS,,Normalized coverage at GC 13,0.8198
GC BIAS DETAILS,,Normalized coverage at GC 14,0.8371
GC BIAS DETAILS,,Normalized coverage at GC 15,0.8491
GC BIAS DETAILS,,Normalized coverage at GC 16,0.8588
GC BIAS DETAILS,,Normalized coverage at GC 17,0.8668
GC BIAS DETAILS,,Normalized coverage at GC 18,0.8715
GC BIAS DETAILS,,Normalized coverage at GC 19,0.8769
GC BIAS DETAILS,,Normalized coverage at GC 20,0.8786
GC BIAS DETAILS,,Normalized coverage at GC 21,0.8819
GC BIAS DETAILS,,Normalized coverage at GC 22,0.8830
GC BIAS DETAILS,,Normalized coverage at GC 23,0.8853
GC BIAS DETAILS,,Normalized coverage at GC 24,0.8880
GC BIAS DETAILS,,Normalized coverage at GC 25,0.8906
GC BIAS DETAILS,,Normalized coverage at GC 26,0.8944
GC BIAS DETAILS,,Normalized coverage at GC 27,0.8986
GC BIAS DETAILS,,Normalized coverage at GC 28,0.9036
GC BIAS DETAILS,,Normalized coverage at GC 29,0.9089
GC BIAS DETAILS,,Normalized coverage at GC 30,0.9144
GC BIAS DETAILS,,Normalized coverage at GC 31,0.9200
GC BIAS DETAILS,,Normalized coverage at GC 32,0.9252
GC BIAS DETAILS,,Normalized coverage at GC 33,0.9297
GC BIAS DETAILS,,Normalized coverage at GC 34,0.9317
GC BIAS DETAILS,,Normalized coverage at GC 35,0.9330
GC BIAS DETAILS,,Normalized coverage at GC 36,0.9320
GC BIAS DETAILS,,Normalized coverage at GC 37,0.9321
GC BIAS DETAILS,,Normalized coverage at GC 38,0.9342
GC BIAS DETAILS,,Normalized coverage at GC 39,0.9383
GC BIAS DETAILS,,Normalized coverage at GC 40,0.9462
GC BIAS DETAILS,,Normalized coverage at GC 41,0.9593
GC BIAS DETAILS,,Normalized coverage at GC 42,0.9783
GC BIAS DETAILS,,Normalized coverage at GC 43,1.0011
GC BIAS DETAILS,,Normalized coverage at GC 44,1.0240
GC BIAS DETAILS,,Normalized coverage at GC 45,1.0445
GC BIAS DETAILS,,Normalized coverage at GC 46,1.0614
GC BIAS DETAILS,,Normalized coverage at GC 47,1.0759
GC BIAS DETAILS,,Normalized coverage at GC 48,1.0880
GC BIAS DETAILS,,Normalized coverage at GC 49,1.0989
GC BIAS DETAILS,,Normalized coverage at GC 50,1.1083
GC BIAS DETAILS,,Normalized coverage at GC 51,1.1170
GC BIAS DETAILS,,Normalized coverage at GC 52,1.1252
GC BIAS DETAILS,,Normalized coverage at GC 53,1.1328
GC BIAS DETAILS,,Normalized coverage at GC 54,1.1410
GC BIAS DETAILS,,Normalized coverage at GC 55,1.1491
GC BIAS DETAILS,,Normalized coverage at GC 56,1.1577
GC BIAS DETAILS,,Normalized coverage at GC 57,1.1672
GC BIAS DETAILS,,Normalized coverage at GC 58,1.1774
GC BIAS DETAILS,,Normalized coverage at GC 59,1.1885
GC BIAS DETAILS,,Normalized coverage at GC 60,1.2011
GC BIAS DETAILS,,Normalized coverage at GC 61,1.2153
GC BIAS DETAILS,,Normalized coverage at GC 62,1.2288
GC BIAS DETAILS,,Normalized coverage at GC 63,1.2406
GC BIAS DETAILS,,Normalized coverage at GC 64,1.2499
GC BIAS DETAILS,,Normalized coverage at GC 65,1.2555
GC BIAS DETAILS,,Normalized coverage at GC 66,1.2556
GC BIAS DETAILS,,Normalized coverage at GC 67,1.2564
GC BIAS DETAILS,,Normalized coverage at GC 68,1.2576
GC BIAS DETAILS,,Normalized coverage at GC 69,1.2524
GC BIAS DETAILS,,Normalized coverage at GC 70,1.2385
GC BIAS DETAILS,,Normalized coverage at GC 71,1.2189
GC BIAS DETAILS,,Normalized coverage at GC 72,1.1950
GC BIAS DETAILS,,Normalized coverage at GC 73,1.1697
GC BIAS DETAILS,,Normalized coverage at GC 74,1.1414
GC BIAS DETAILS,,Normalized coverage at GC 75,1.1139
GC BIAS DETAILS,,Normalized coverage at GC 76,1.0811
GC BIAS DETAILS,,Normalized coverage at GC 77,1.0415
GC BIAS DETAILS,,Normalized coverage at GC 78,0.9971
GC BIAS DETAILS,,Normalized coverage at GC 79,0.9572
GC BIAS DETAILS,,Normalized coverage at GC 80,0.9198
GC BIAS DETAILS,,Normalized coverage at GC 81,0.8805
GC BIAS DETAILS,,Normalized coverage at GC 82,0.8313
GC BIAS DETAILS,,Normalized coverage at GC 83,0.7724
GC BIAS DETAILS,,Normalized coverage at GC 84,0.7107
GC BIAS DETAILS,,Normalized coverage at GC 85,0.6407
GC BIAS DETAILS,,Normalized coverage at GC 86,0.5644
GC BIAS DETAILS,,Normalized coverage at GC 87,0.4809
GC BIAS DETAILS,,Normalized coverage at GC 88,0.3864
GC BIAS DETAILS,,Normalized coverage at GC 89,0.3177
GC BIAS DETAILS,,Normalized coverage at GC 90,0.2396
GC BIAS DETAILS,,Normalized coverage at GC 91,0.4165
GC BIAS DETAILS,,Normalized coverage at GC 92,0.1753
GC BIAS DETAILS,,Normalized coverage at GC 93,0.2542
GC BIAS DETAILS,,Normalized coverage at GC 94,6.8593
GC BIAS DETAILS,,Normalized coverage at GC 95,35.7473
GC BIAS DETAILS,,Normalized coverage at GC 96,32.7800
GC BIAS DETAILS,,Normalized coverage at GC 97,152.0823
GC BIAS DETAILS,,Normalized coverage at GC 98,292.1215
GC BIAS DETAILS,,Normalized coverage at GC 99,142.5891
GC BIAS DETAILS,,Normalized coverage at GC 100,0.0252
GC METRICS SUMMARY,,Window size,100
GC METRICS SUMMARY,,Number of valid windows,2923517024
GC METRICS SUMMARY,,Number of discarded windows,95694460
GC METRICS SUMMARY,,Average reference GC,40.87
GC METRICS SUMMARY,,Mean global coverage,58.94
GC METRICS SUMMARY,,Normalized coverage at GCs 0-19,0.83
GC METRICS SUMMARY,,Normalized coverage at GCs 20-39,0.92
GC METRICS SUMMARY,,Normalized coverage at GCs 40-59,1.06
GC METRICS SUMMARY,,Normalized coverage at GCs 60-79,1.22
GC METRICS SUMMARY,,Normalized coverage at GCs 80-100,0.89
GC METRICS SUMMARY,,AT Dropout,4.34
GC METRICS SUMMARY,,GC Dropout,0.02
